Player-0 \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
games.azul.actions.TakeTilesAction@1498fc7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
games.azul.actions.TakeTilesAction@290dd3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
games.azul.actions.TakeTilesAction@327bfea9,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
games.azul.actions.TakeTilesAction@77fe4f52,1,1,0,1,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,4,0,0,2,1,2,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
games.azul.actions.TakeTilesAction@77fe4fed,1,0,0,0,0,0,2,0,0,1,0,1,0,1,2,0,2,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,2,2,0,2,1,2,2,0,2,1,0
games.azul.actions.TakeTilesAction@21ae7ce7,0,0,0,0,0,2,1,0,1,2,2,1,0,2,0,1,1,1,1,0,0,0,2,0,2,1,2,1,4,0,2,1,0,1,1,0,3,1,1,1,2,0,2,3,0,1,0,0,1,2
games.azul.actions.TakeTilesAction@77fe62b2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
games.azul.actions.TakeTilesAction@290d180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
games.azul.actions.TakeTilesAction@327c0a49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
games.azul.actions.TakeTilesAction@327bff25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
