Agent \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
RuleBased,27,25,25,26,26,27,24,25,24,24,27,26,27,27,26,30,26,25,29,27,24,28,26,27,26,24,25,23,25,24,26,27,26,26,25,27,28,25,24,25,21,27,26,24,25,24,24,25,25,26
OSLA,28,25,23,23,26,28,26,24,25,24,26,24,27,25,23,28,25,23,25,24,26,24,26,25,25,26,27,27,28,25,26,24,28,26,26,28,25,25,26,26,25,27,28,25,24,26,27,26,23,24
