GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms))
-1170105035,Azul,5,ACTION_TAKEN,47,43,2,6,0.1635,RuleBased,0.0227,0,0.0762,0.0682
-1170105035,Azul,5,ACTION_TAKEN,48,44,2,6,0.2935,Random,0.042,1,0.3331,0.0048
-1170105035,Azul,5,ACTION_TAKEN,49,45,2,6,0.2095,RuleBased,0.0296,0,0.0747,0.0732
-1170105035,Azul,5,ACTION_TAKEN,50,46,2,6,0.1126,Random,0.0152,1,0.0728,0.0021
-1170105035,Azul,5,ACTION_TAKEN,51,47,2,6,0.2839,RuleBased,0.0356,0,0.059,0.0502
-1170105035,Azul,5,ACTION_TAKEN,52,48,2,6,0.0985,Random,0.0107,1,0.0452,0.0017
-1170105035,Azul,5,ACTION_TAKEN,53,48,2,6,0.0895,RuleBased,0.0101,0,0.0657,0.0017
234785527,Azul,1,ACTION_TAKEN,1,1,2,7,0.0982,RuleBased,0.0454,0,0.0705,0.2676
234785527,Azul,1,ACTION_TAKEN,2,2,2,7,0.1705,Random,0.049,1,0.0685,0.0045
234785527,Azul,1,ACTION_TAKEN,3,3,2,7,0.1784,RuleBased,0.0198,0,0.0612,0.1343
234785527,Azul,1,ACTION_TAKEN,4,4,2,7,0.1604,Random,0.0109,1,0.062,0.0025
234785527,Azul,1,ACTION_TAKEN,5,5,2,7,0.0997,RuleBased,0.0107,0,0.0583,0.0693
234785527,Azul,1,ACTION_TAKEN,6,6,2,7,0.1103,Random,0.0108,1,0.0509,0.0114
234785527,Azul,1,ACTION_TAKEN,7,7,2,7,0.096,RuleBased,0.0085,0,0.0866,0.069
234785527,Azul,1,ACTION_TAKEN,8,8,2,7,0.1148,Random,0.0093,1,0.1382,0.0019
234785527,Azul,1,ACTION_TAKEN,9,9,2,7,0.1632,RuleBased,0.0147,0,0.082,0.074
234785527,Azul,2,ACTION_TAKEN,10,9,2,7,0.1701,Random,0.0129,1,0.108,0.0028
234785527,Azul,2,ACTION_TAKEN,11,10,2,7,0.2077,Random,0.0216,1,0.0651,0.0042
234785527,Azul,2,ACTION_TAKEN,12,11,2,7,0.1413,RuleBased,0.048,0,0.1205,0.0824
234785527,Azul,2,ACTION_TAKEN,13,12,2,7,0.1814,Random,0.0207,1,0.108,0.0032
234785527,Azul,2,ACTION_TAKEN,14,13,2,7,0.2983,RuleBased,0.0296,0,0.1214,0.1252
234785527,Azul,2,ACTION_TAKEN,15,14,2,7,0.2818,Random,0.0299,1,0.2818,0.0047
234785527,Azul,2,ACTION_TAKEN,16,15,2,7,0.2068,RuleBased,0.0247,0,0.0885,0.089
234785527,Azul,2,ACTION_TAKEN,17,16,2,7,0.2681,Random,0.0163,1,0.0951,0.0033
234785527,Azul,2,ACTION_TAKEN,18,17,2,7,0.137,RuleBased,0.0134,0,0.2484,0.076
234785527,Azul,2,ACTION_TAKEN,19,18,2,7,0.3271,Random,0.0304,1,0.1445,0.0033
234785527,Azul,3,ACTION_TAKEN,20,18,2,7,0.3138,RuleBased,0.0334,0,0.5456,0.0033
234785527,Azul,3,ACTION_TAKEN,21,19,2,7,0.6029,RuleBased,0.0354,0,0.1257,0.1487
234785527,Azul,3,ACTION_TAKEN,22,20,2,7,0.1629,Random,0.0228,1,0.256,0.0029
