Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
Player 1 takes BLUE tiles from center to pattern line 4,50.0,14.0,0.2800000000000001,0.0,2.0,2.0,0.4097959183673469,0.6401530429259451
Player 0 takes RED tiles from center to pattern line 1,50.0,14.0,0.28,0.0,1.0,1.0,0.20571428571428568,0.4535573676110726
Player 1 takes YELLOW tiles from center to pattern line 2,50.0,14.0,0.28,0.0,1.0,1.0,0.2057142857142858,0.45355736761107274
Player 1 takes WHITE tiles from center to pattern line 3,50.0,14.0,0.28,0.0,2.0,2.0,0.3281632653061224,0.5728553615932406
Player 0 takes WHITE tiles from center to pattern line 0,50.0,13.0,0.26000000000000006,0.0,1.0,1.0,0.1963265306122449,0.44308749769345207
Player 0 takes YELLOW tiles from center to pattern line 1,50.0,13.0,0.26,0.0,1.0,1.0,0.19632653061224495,0.4430874976934521
Player 0 takes RED tiles from factory 0 to pattern line 0,50.0,13.0,0.26,0.0,1.0,1.0,0.19632653061224492,0.4430874976934521
Player 1 takes YELLOW tiles from center to pattern line 3,50.0,13.0,0.2599999999999999,0.0,2.0,2.0,0.3187755102040817,0.5646020812962715
Player 0 takes RED tiles from center to pattern line 0,50.0,12.0,0.24,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
Player 0 takes BLUE tiles from center to pattern line 0,50.0,12.0,0.24,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
Player 0 takes BLUE tiles from center to pattern line 1,50.0,12.0,0.23999999999999996,0.0,1.0,1.0,0.18612244897959182,0.43141911058689997
Player 1 takes BLUE tiles from center to pattern line 0,50.0,12.0,0.23999999999999996,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
Player 0 takes BLACK tiles from center to pattern line 1,50.0,11.0,0.22000000000000006,0.0,1.0,1.0,0.1751020408163266,0.41845195759648035
Player 0 takes WHITE tiles from factory 1 to pattern line 2,50.0,11.0,0.22000000000000003,0.0,1.0,1.0,0.17510204081632658,0.41845195759648035
Player 0 takes WHITE tiles from factory 1 to pattern line 0,50.0,11.0,0.22,0.0,1.0,1.0,0.17510204081632652,0.4184519575964803
Player 1 takes WHITE tiles from factory 2 to floor line,50.0,11.0,0.21999999999999997,0.0,1.0,1.0,0.17510204081632652,0.4184519575964803
Player 0 takes BLACK tiles from factory 2 to pattern line 0,50.0,10.0,0.20000000000000007,0.0,1.0,1.0,0.16326530612244897,0.40406101782088427
Player 1 takes YELLOW tiles from center to pattern line 4,50.0,10.0,0.20000000000000004,0.0,2.0,2.0,0.24489795918367346,0.4948716593053935
