Agent \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MCTS-Simple,28,27,26,28,26,29,27,26,26,27,26,29,26,24,27,25,27,24,25,28,25,25,26,26,27,28,27,25,27,26,27,28,26,27,27,25,28,26,27,26,26,29,26,26,25,25,23,26,25,26
RuleBased,24,25,23,26,27,28,23,27,26,28,28,25,29,27,29,29,27,27,23,26,27,24,27,27,27,26,28,28,27,28,31,29,27,26,25,25,28,29,28,27,28,28,25,25,25,27,28,27,28,26
