Measure,Value
Count,2655.0
sum,9.12669999999998
Mean,0.003437551789077208
Min,6.0E-4
Max,0.4786
Range,0.47800000000000004
Variance,1.3486734969353012E-4
Std. Dev,0.011613240275372336
