GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,StateSpace(Size)
-1170105035,Azul,0,ABOUT_TO_START,0,0,2,59,117
234785527,Azul,0,ABOUT_TO_START,0,0,2,60,117
-1360544799,Azul,0,ABOUT_TO_START,0,0,2,61,117
205897768,Azul,0,ABOUT_TO_START,0,0,2,62,117
1325939940,Azul,0,ABOUT_TO_START,0,0,2,63,117
-248792245,Azul,0,ABOUT_TO_START,0,0,2,64,117
1190043011,Azul,0,ABOUT_TO_START,0,0,2,65,117
-1255373459,Azul,0,ABOUT_TO_START,0,0,2,66,117
-1436456258,Azul,0,ABOUT_TO_START,0,0,2,67,117
392236186,Azul,0,ABOUT_TO_START,0,0,2,68,117
-415012931,Azul,0,ABOUT_TO_START,0,0,2,69,117
1938135004,Azul,0,ABOUT_TO_START,0,0,2,70,117
1583910553,Azul,0,ABOUT_TO_START,0,0,2,71,117
1639144584,Azul,0,ABOUT_TO_START,0,0,2,72,117
1184328952,Azul,0,ABOUT_TO_START,0,0,2,73,117
-1329611232,Azul,0,ABOUT_TO_START,0,0,2,74,117
1991376913,Azul,0,ABOUT_TO_START,0,0,2,75,117
-1021814956,Azul,0,ABOUT_TO_START,0,0,2,76,117
-932429809,Azul,0,ABOUT_TO_START,0,0,2,77,117
-7822877,Azul,0,ABOUT_TO_START,0,0,2,78,117
-346484495,Azul,0,ABOUT_TO_START,0,0,2,79,117
652655727,Azul,0,ABOUT_TO_START,0,0,2,80,117
1874714453,Azul,0,ABOUT_TO_START,0,0,2,81,117
1888925827,Azul,0,ABOUT_TO_START,0,0,2,82,117
-1074144810,Azul,0,ABOUT_TO_START,0,0,2,83,117
-297936814,Azul,0,ABOUT_TO_START,0,0,2,84,117
1660292060,Azul,0,ABOUT_TO_START,0,0,2,85,117
-866352379,Azul,0,ABOUT_TO_START,0,0,2,86,117
761834774,Azul,0,ABOUT_TO_START,0,0,2,87,117
646596492,Azul,0,ABOUT_TO_START,0,0,2,88,117
-1742253836,Azul,0,ABOUT_TO_START,0,0,2,89,117
1453021513,Azul,0,ABOUT_TO_START,0,0,2,90,117
900944861,Azul,0,ABOUT_TO_START,0,0,2,91,117
1076582170,Azul,0,ABOUT_TO_START,0,0,2,92,117
-747470862,Azul,0,ABOUT_TO_START,0,0,2,93,117
1568355455,Azul,0,ABOUT_TO_START,0,0,2,94,117
739670425,Azul,0,ABOUT_TO_START,0,0,2,95,117
681416186,Azul,0,ABOUT_TO_START,0,0,2,96,117
-1771985870,Azul,0,ABOUT_TO_START,0,0,2,97,117
1177562329,Azul,0,ABOUT_TO_START,0,0,2,98,117
-1068242537,Azul,0,ABOUT_TO_START,0,0,2,99,117
-1530631166,Azul,0,ABOUT_TO_START,0,0,2,100,117
-1842367650,Azul,0,ABOUT_TO_START,0,0,2,101,117
344825474,Azul,0,ABOUT_TO_START,0,0,2,102,117
-1803779346,Azul,0,ABOUT_TO_START,0,0,2,103,117
389401069,Azul,0,ABOUT_TO_START,0,0,2,104,117
-1062961681,Azul,0,ABOUT_TO_START,0,0,2,105,117
-864933426,Azul,0,ABOUT_TO_START,0,0,2,106,117
134940315,Azul,0,ABOUT_TO_START,0,0,2,107,117
1359496886,Azul,0,ABOUT_TO_START,0,0,2,108,117
