GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1),Winner(PlayerIdx)
-1074144810,Azul,5,GAME_OVER,50,45,2,83,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.94,47,19.0,RuleBased,10.0,19.5,29.0,OSLA,RuleBased,11,16,OSLA,0
-297936814,Azul,5,GAME_OVER,51,46,2,84,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,51,0.9215686274509803,47,14.0,RuleBased,12.0,19.0,26.0,OSLA,RuleBased,11,15,OSLA,0
1660292060,Azul,5,GAME_OVER,51,46,2,85,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,51,0.9411764705882353,48,33.0,RuleBased,10.0,26.5,43.0,OSLA,RuleBased,11,17,OSLA,0
-866352379,Azul,5,GAME_OVER,48,43,2,86,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,48,0.9375,45,41.0,RuleBased,3.0,23.5,44.0,OSLA,RuleBased,9,19,OSLA,0
761834774,Azul,5,GAME_OVER,50,45,2,87,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.92,46,27.0,RuleBased,3.0,16.5,30.0,OSLA,RuleBased,10,17,OSLA,0
646596492,Azul,5,GAME_OVER,55,50,2,88,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,55,0.9636363636363636,53,28.0,RuleBased,19.0,33.0,47.0,OSLA,RuleBased,12,18,OSLA,0
-1742253836,Azul,5,GAME_OVER,50,45,2,89,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.94,47,40.0,RuleBased,5.0,25.0,45.0,OSLA,RuleBased,12,17,OSLA,0
1453021513,Azul,5,GAME_OVER,48,43,2,90,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,48,0.9375,45,28.0,RuleBased,6.0,20.0,34.0,OSLA,RuleBased,11,17,OSLA,0
900944861,Azul,5,GAME_OVER,49,44,2,91,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,49,0.9183673469387755,45,6.0,RuleBased,5.0,8.0,11.0,OSLA,RuleBased,9,15,OSLA,0
1076582170,Azul,5,GAME_OVER,52,47,2,92,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9423076923076923,49,47.0,RuleBased,13.0,36.5,60.0,OSLA,RuleBased,10,19,OSLA,0
-747470862,Azul,5,GAME_OVER,55,50,2,93,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,55,0.9090909090909091,50,45.0,RuleBased,17.0,39.5,62.0,OSLA,RuleBased,10,19,OSLA,0
